annee,boite,carburant,departement,kilometrage,prix,titre,ville
2017,Automatique,Essence,75015,41922,45490,MERCEDES CLA CLASSE 45 SPEEDSHIFT AMG 4MATIC,Paris 15e Arrondissement
2018,Automatique,Essence,88150,51350,34490,MERCEDES CLA CLASSE 250 2.0 I TURBO 218 CV BOÎTE AUTO,Chavelot
2019,Automatique,Diesel,35235,41513,29990,MERCEDES CLA CLASSE 200D FASCINATION AMG,Thorigné-Fouillard
2014,Automatique,Essence,52100,130500,22990,MERCEDES CLA CLASSE 250 SPORT 7G-DCT,Bettancourt-la-Ferrée
2018,Automatique,Essence,35510,71000,25690,MERCEDES CLASSE GLA 180 BV 7G-DCT 122 CV,Cesson-Sévigné
2014,Manuelle,Diesel,91130,105500,17990,MERCEDES CLASSE CLA 200 CDI FASCINATION,Ris-Orangis
2016,Automatique,Diesel,41260,54979,22999,MERCEDES CLA CLASSE 200 D BUSINESS 7G-DCT,La Chaussée-Saint-Victor
2014,Automatique,Essence,59282,96000,21990,MERCEDES CLA CLASSE 1.6 200 FASCINATION 7G-DCT,Douchy-les-Mines
2014,Manuelle,Diesel,94100,67551,19490,MERCEDES CLA COUPE 180 CDI 110 SENSATION GARANTIE 1 AN,Saint-Maur-des-Fossés
2018,Manuelle,Diesel,24000,142000,12500,MINI COOPER 1.6 D 116 CH BLACKFRIARS FULL OPTIONS LED/TOIT OUVRANT …,Périgueux
2014,Automatique,Essence,17000,96500,22990,MERCEDES CLA CLASSE 211CH 2.0L,La Rochelle
2019,Automatique,Diesel,91700,72839,27990,MERCEDES CLASSE C 180 CDI 9G-TRONIC BLUETEC 122 CV AMG LINE TOIT OUVRANT,Sainte-Geneviève-des-Bois
2005,Automatique,Essence,13200,139000,39900,MERCEDES G 500 V8 AMG GARANTIE 12 MOIS,Arles
2013,Automatique,Diesel,37540,152431,19990,MERCEDES-BENZ CLA COUPÉ 220 CDI 05/2013 - 152 000 KMS,Saint-Cyr-sur-Loire
2019,Automatique,Essence,77240,49855,55990,MERCEDES CLA CLASSE 35 AMG 306CH 4MATIC 7G-DCT SPEEDSHIFT,Vert-Saint-Denis
2016,Automatique,Diesel,17139,90500,25990,MERCEDES CLA CLASSE SHOOTING BRAKE 220 PACK AMG,Dompierre-sur-Mer
2017,Automatique,Diesel,24100,47500,29990,MERCEDES CLA CLASSE 220D 177CH AMG 7G H KARDON,Bergerac
2015,Automatique,Diesel,59890,83783,26990,MERCEDES CLASSE CLA 220 CDI 177 CH BVA GPS FASCINATION 83.783KM,Quesnoy-sur-Deûle
2016,Manuelle,Diesel,88190,80000,19990,MERCEDES CLA CLASSE 110CV SHOOTING BRAKE 180,Golbey
2015,Manuelle,Essence,60740,74300,17490,MERCEDES CLA CLASSE 180 SENSATION,Saint-Maximin Les Haies
2018,Automatique,Essence,6600,40000,24490,MERCEDES CLA CLASSE SHOOTING BRAKE BUSINESS 180 7G,Antibes
2014,Automatique,Diesel,95520,106960,16990,MERCEDES CLA CLASSE 180 D 7G-DCT AMG EDITION,Osny
2018,Automatique,Diesel,69200,54000,29990,MERCEDES CLA CLASSE SHOOTING BRAKE 220 D 7-G DCT A WHITE ART EDITION,Vénissieux
2017,Automatique,Diesel,92200,50500,23490,MERCEDES CLA CLASSE FASCINATION 180 D 110,Neuilly-sur-Seine
2018,Automatique,Essence,95310,62041,23490,MERCEDES CLA CLASSE 180 7-G DCT SENSATION,Saint-Ouen-l'Aumône
2016,Automatique,Diesel,73460,60000,23990,CLASSE B 220D 177 FASCINATION 4MATIC 7G-DCT AMG LINE 04/2016 TOIT PANO SEMI CUIR CAMERA,Frontenex
2018,Automatique,Diesel,44400,29537,29699,MERCEDES CLA CLASSE SHOOTING BRAKE 220 D SENSATION 4MATIC 7G-DCT,Rezé
2018,Automatique,Diesel,61100,74571,23990,MERCEDES CLA CLASSE BUS.EDITION 136CV 200D 7G-DCTX,La Selle-la-Forge
2018,Automatique,Essence,1100,66000,66990,MERCEDES C 63S AMG V8 510 DESIGNO 66000 2017 [GARANTIE1AN],Oyonnax
2015,Manuelle,Diesel,35410,142000,15490,MERCEDES-BENZ CLASSE CLA 180 CDI 1.5 109CH,Nouvoitou
2015,Automatique,Diesel,20600,93000,20000,MERCEDES CLA,Furiani
2020,Automatique,Diesel,91210,24700,39000,MERCEDES CLA 2020 GARANTIE,Draveil
2017,Automatique,Diesel,62100,139987,19890,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D BUSINESS EXECUTIVE EDITION 7G-DCT,Calais
2017,Automatique,Diesel,31000,64000,22500,CLA SHOOTING BRAKE 180D,Toulouse
2014,Manuelle,Diesel,9300,95000,20000,MERCEDES CLASSE CLA 200 FASCINATION PACK AMG,Lavelanet
2013,Automatique,Diesel,74100,201110,18500,MERCEDES CLA 220 AMG ÉDITION ONE YELLOW ART,Annemasse
2016,Manuelle,Diesel,3100,71000,17500,ÉCHANGE CLA,Montluçon
2017,Manuelle,Essence,34430,22000,8990,VOLKSWAGEN UP 1.0 75CH UP BEATS AUDIO 5P 22.000KM,Saint-Jean-de-Védas
2018,Manuelle,Essence,34430,25000,7990,FIAT PANDA 1.2I 25000 KM ÉTAT EXCEPTIONNEL,Saint-Jean-de-Védas
2016,Automatique,Diesel,57000,270000,12990,MERCEDES-BENZ CLASSE CLA 200 CDI 7G-DCT 136 CV BVA SHOOTING BRAKE,Metz
2016,Automatique,Diesel,22970,92000,25000,MERCEDES FASCINATION AMG CLASSE CLA,Ploumagoar
2016,Automatique,Diesel,57000,270000,12990,MERCEDES-BENZ CLASSE CLA 200 CDI 7G-DCT 136 CV BVA SHOOTING BRAKE,Metz
2016,Automatique,Diesel,22970,92000,25000,MERCEDES FASCINATION AMG CLASSE CLA,Ploumagoar
2017,Automatique,Diesel,91700,39822,23990,MERCEDES CLA CLASSE BUSINESS 200 D BA7,Fleury-Mérogis
2016,Automatique,Essence,91410,7000,50000,MERCEDES CLA 45 AMG PACK AÉRO ÉDITION ONE,Dourdan
2016,Automatique,Diesel,78520,94000,23900,MERCEDES CLA SHOOTING BRAKE 220 D 4MATIC PACK AMG FULL CUIR SB ANNÉE 2016,Limay
2016,Manuelle,Diesel,42270,66200,19490,MERCEDES BENZ CLASSE CLA 180 D INSPIRATION 1°MAIN,Saint-Priest-en-Jarez
2020,Automatique,Diesel,60880,5400,46990,MERCEDES CLA CLASSE COUPE COUPÉ 220 D 8G-DCT AMG LINE,Jaux
